Year,Median HH Income
1/1/1984,22420
1/1/1985,23620
1/1/1986,24900
1/1/1987,26060
1/1/1988,27230
1/1/1989,28910
1/1/1990,29940
1/1/1991,30130
1/1/1992,30640
1/1/1993,31240
1/1/1994,32260
1/1/1995,34080
1/1/1996,35490
1/1/1997,37010
1/1/1998,38890
1/1/1999,40700
1/1/2000,41990
1/1/2001,42230
1/1/2002,42410
1/1/2003,43320
1/1/2004,44330
1/1/2005,46330
1/1/2006,48200
1/1/2007,50230
1/1/2008,50300
1/1/2009,49780
1/1/2010,49280
1/1/2011,50050
1/1/2012,51020
1/1/2013,53590
1/1/2014,53660
1/1/2015,56520
1/1/2016,59040
1/1/2017,61140
1/1/2018,63180
1/1/2019,68700
1/1/2020,68010
1/1/2021,70780
1/1/2022,74580
1/1/2023,80610
1/1/2024,83730
