state_label,region_label,census_division_label,marital_status_label,living_arrangement_label,marital_net_label,gender_age_net_label,national_weight,census_division_weight,state_weight
Ohio,Midwest,East North Central,Married,Live with spouse/partner,Married,Female 35–44,1.153548,1.123949,0.859644
Washington,West,Pacific,Widowed/widower,Only adult in household,Single,Male 65+,1.398688,0.86344,0.975078
Oregon,West,Pacific,Married,Live with spouse/partner,Married,Male 65+,1.398688,0.472645,0.893974
Washington,West,Pacific,Married,Live with spouse/partner,Married,Female 65+,1.250293,0.614156,0.778748
Texas,South,West South Central,Divorced,Live with family/friends/roommates,Single,Female 65+,1.250076,2.228957,0.783507
Arizona,West,Mountain,Single,Live with family/friends/roommates,Single,Female 45–54,0.359551,1.851883,0.861736
Georgia,South,South Atlantic,Single,Only adult in household,Single,Male 45–54,1.075989,1.348475,0.88661
Pennsylvania,Northeast,Middle Atlantic,Single,Live in parents’ home,Single,Female 25–34,2.934629,1.749106,1.621238
Nevada,West,Mountain,Divorced,Live with family/friends/roommates,Single,Female 55–64,0.464731,1.016115,1.107401
Texas,South,West South Central,Widowed/widower,Only adult in household,Single,Female 55–64,1.488421,3.003482,1.039432
Wisconsin,Midwest,East North Central,Divorced,Live with spouse/partner,Living with partner,Female 55–64,1.250487,0.560679,0.984396
Ohio,Midwest,East North Central,Divorced,Live with spouse/partner,Living with partner,Female 45–54,1.375414,1.373895,1.054871
Missouri,Midwest,West North Central,Married,Live with spouse/partner,Married,Female 55–64,0.493044,2.102272,1.037419
Florida,South,South Atlantic,Married,Live with spouse/partner,Married,Female 65+,0.995781,2.687002,0.867798
Illinois,Midwest,East North Central,Divorced,Only adult in household,Single,Female 45–54,1.153548,1.13915,0.83008
New Jersey,Northeast,Middle Atlantic,Single,Only adult in household,Single,Male 25–34,1.89719,0.580895,0.841086
Colorado,West,Mountain,Single,Only adult in household,Single,Male 55–64,0.365691,1.579188,0.897845
Maryland,South,South Atlantic,Married,Live with spouse/partner,Married,Male 65+,0.934276,0.684887,0.998045
Illinois,Midwest,East North Central,Single,Only adult in household,Single,Male 35–44,1.131664,1.022831,0.735191
Delaware,South,South Atlantic,Widowed/widower,Only adult in household,Single,Male 55–64,1.137656,0.175014,0.880566
Pennsylvania,Northeast,Middle Atlantic,Married,Live with spouse/partner,Married,Male 45–54,1.570974,0.766771,0.843798
New York,Northeast,Middle Atlantic,Single,Only adult in household,Single,Male 65+,1.663337,1.460666,1.029889
North Carolina,South,South Atlantic,Divorced,Only adult in household,Single,Male 45–54,0.90116,1.247648,1.014187
South Carolina,South,South Atlantic,Single,Only adult in household,Single,Male 45–54,0.90116,0.624694,0.804978
Florida,South,South Atlantic,Married,Live with spouse/partner,Married,Male 45–54,0.90116,2.601164,0.937056
Michigan,Midwest,East North Central,Married,Live with spouse/partner,Married,Male 45–54,1.34932,1.038977,1.017134
California,West,Pacific,Married,Live with spouse/partner,Married,Male 65+,1.173068,3.106379,0.888063
New York,Northeast,Middle Atlantic,Married,Live with spouse/partner,Married,Female 45–54,1.909348,1.420913,1.027706
California,West,Pacific,Single,Only adult in household,Single,Female 45–54,1.779577,3.611277,0.955223
South Carolina,South,South Atlantic,Married,Live with spouse/partner,Married,Male 65+,1.113969,0.710725,0.782285
Missouri,Midwest,West North Central,Single,Only adult in household,Single,Female 35–44,0.588563,2.358958,1.686097
