age,education_level,occupation,number_of_dependents,location,work_experience,marital_status,employment_status,household_size,homeownership_status,type_of_housing,gender,primary_mode_of_transportation,income,log_income
56,Master's,Technology,5,Urban,21,Married,Full-time,7,Own,Apartment,Male,Public transit,72510,11.191493553471755
69,High School,Finance,0,Urban,4,Single,Full-time,7,Own,Apartment,Male,Biking,75462,11.23139774889025
46,Bachelor's,Technology,1,Urban,1,Single,Full-time,7,Own,Single-family home,Female,Car,71748,11.180929196242513
32,High School,Others,2,Urban,32,Married,Full-time,1,Own,Apartment,Female,Car,74520,11.218836243841805
60,Bachelor's,Finance,3,Urban,15,Married,Self-employed,4,Own,Townhouse,Male,Walking,640210,13.369553088500872
25,High School,Others,1,Rural,6,Single,Part-time,1,Rent,Townhouse,Female,Car,73406,11.203774577902795
38,Master's,Technology,3,Rural,20,Married,Full-time,4,Rent,Single-family home,Male,Public transit,3584362,15.092091331430275
56,Master's,Education,1,Suburban,34,Married,Part-time,7,Own,Townhouse,Female,Public transit,70066,11.157207206119491
36,Master's,Finance,4,Suburban,45,Married,Full-time,2,Own,Apartment,Female,Public transit,69636,11.151051314263803
40,Bachelor's,Education,4,Urban,21,Married,Full-time,6,Own,Apartment,Female,Biking,5188124,15.461882918191437
28,Bachelor's,Healthcare,4,Urban,50,Married,Full-time,5,Rent,Townhouse,Female,Car,68944,11.141064364275842
28,Master's,Healthcare,2,Urban,47,Married,Full-time,2,Own,Single-family home,Female,Car,66796,11.109413448336603
41,Bachelor's,Technology,4,Rural,21,Married,Full-time,2,Own,Single-family home,Female,Car,9892000,16.10723700871523
70,High School,Technology,2,Suburban,5,Married,Part-time,4,Own,Apartment,Male,Public transit,35349,10.473053671324719
53,Master's,Technology,0,Suburban,32,Married,Full-time,3,Rent,Single-family home,Female,Public transit,73964,11.211347287326337
57,Bachelor's,Healthcare,4,Rural,38,Married,Self-employed,6,Rent,Apartment,Male,Car,756798,13.536852975365868
41,High School,Technology,2,Urban,42,Married,Full-time,7,Rent,Apartment,Male,Car,1011213,13.826662147215599
20,High School,Healthcare,1,Urban,24,Married,Part-time,3,Own,Single-family home,Female,Car,66298,11.101930093103945
39,High School,Technology,2,Rural,17,Single,Self-employed,3,Own,Apartment,Female,Public transit,3856805,15.165349937766178
70,Bachelor's,Education,5,Urban,40,Married,Full-time,3,Own,Single-family home,Female,Public transit,70496,11.163325434703458
19,High School,Finance,2,Urban,34,Married,Part-time,6,Rent,Apartment,Male,Biking,233049,12.359008301800888
41,High School,Finance,5,Urban,23,Married,Part-time,5,Own,Single-family home,Female,Car,66856,11.11031128909005
61,High School,Finance,1,Urban,39,Married,Full-time,2,Own,Townhouse,Male,Biking,3270292,15.00039014130586
47,Bachelor's,Finance,2,Suburban,39,Single,Full-time,1,Own,Single-family home,Female,Car,65642,11.091986247998761
55,Master's,Technology,1,Urban,22,Married,Part-time,5,Own,Apartment,Female,Biking,72402,11.19000301397943
19,Bachelor's,Healthcare,5,Urban,32,Single,Full-time,7,Own,Single-family home,Female,Public transit,74310,11.21601426819998
38,High School,Technology,3,Urban,28,Single,Full-time,6,Rent,Townhouse,Female,Public transit,69002,11.141905260895113
50,High School,Technology,4,Urban,9,Single,Part-time,4,Rent,Apartment,Female,Public transit,1538406,14.246258023428362
29,Master's,Technology,5,Rural,14,Single,Self-employed,5,Rent,Single-family home,Male,Biking,5579421,15.534595744762886
39,Bachelor's,Education,0,Urban,9,Single,Full-time,5,Own,Apartment,Male,Car,6252651,15.64851625171431
61,Bachelor's,Others,2,Urban,25,Married,Part-time,6,Own,Single-family home,Male,Public transit,71376,11.175730967581492
42,High School,Healthcare,1,Urban,39,Married,Self-employed,4,Rent,Apartment,Male,Walking,3907114,15.178309807952632
66,Master's,Education,4,Rural,28,Single,Full-time,1,Own,Apartment,Male,Biking,239639,12.386893076197861
44,Bachelor's,Others,2,Urban,33,Married,Part-time,2,Own,Apartment,Female,Car,5922905,15.594337764797189
59,High School,Finance,4,Rural,17,Married,Full-time,7,Own,Apartment,Male,Biking,875085,13.682077446224312
45,High School,Healthcare,3,Urban,1,Single,Self-employed,5,Own,Townhouse,Male,Public transit,490898,13.103993682969309
33,Bachelor's,Others,2,Urban,24,Single,Full-time,7,Own,Single-family home,Female,Biking,69972,11.155864732338893
32,Master's,Healthcare,1,Suburban,20,Single,Full-time,4,Rent,Single-family home,Female,Car,8440036,15.948497250448787
64,Master's,Finance,3,Urban,50,Married,Part-time,4,Own,Single-family home,Male,Biking,50958,10.838776666819598
68,Bachelor's,Technology,2,Urban,30,Married,Part-time,1,Own,Single-family home,Female,Walking,74064,11.212698365016152
61,Master's,Technology,4,Urban,21,Married,Full-time,7,Own,Apartment,Male,Public transit,69066,11.142832326942536
69,High School,Finance,3,Urban,8,Married,Part-time,5,Own,Single-family home,Female,Public transit,73738,11.208287110535347
20,Bachelor's,Healthcare,1,Urban,26,Married,Self-employed,4,Own,Apartment,Male,Car,70502,11.163410541086488
54,Bachelor's,Healthcare,2,Urban,24,Single,Self-employed,6,Own,Apartment,Female,Public transit,70586,11.164601270548886
68,High School,Technology,4,Urban,24,Married,Part-time,7,Own,Apartment,Female,Car,6366832,15.66661272966193
24,Master's,Healthcare,4,Urban,26,Single,Self-employed,6,Own,Single-family home,Male,Public transit,65836,11.09493726930676
38,High School,Others,5,Suburban,9,Married,Self-employed,1,Rent,Townhouse,Male,Public transit,73828,11.209506887331928
26,Bachelor's,Technology,3,Urban,29,Married,Part-time,7,Rent,Townhouse,Male,Car,5350468,15.492694778581367
56,Bachelor's,Healthcare,2,Urban,3,Married,Self-employed,7,Own,Single-family home,Female,Biking,74820,11.222853873223139
35,Bachelor's,Technology,5,Urban,20,Married,Self-employed,1,Rent,Apartment,Male,Biking,590478,13.288689350905038
21,Bachelor's,Education,4,Urban,29,Married,Part-time,4,Own,Apartment,Female,Car,1248886,14.03776331263694
42,High School,Healthcare,3,Urban,32,Single,Part-time,4,Own,Single-family home,Male,Public transit,65970,11.096970530507365
31,Master's,Education,0,Suburban,42,Single,Full-time,5,Own,Apartment,Female,Car,68644,11.136703575331705
67,Bachelor's,Others,4,Suburban,25,Married,Full-time,5,Rent,Apartment,Male,Car,68054,11.128071480766174
26,Bachelor's,Education,3,Urban,1,Married,Part-time,2,Rent,Single-family home,Female,Car,74042,11.21240128450515
43,Doctorate,Education,0,Urban,22,Married,Part-time,4,Rent,Townhouse,Female,Car,71074,11.1714909365192
70,Master's,Education,3,Urban,30,Married,Part-time,7,Own,Apartment,Male,Public transit,9061674,16.01956453951842
19,High School,Healthcare,4,Rural,3,Married,Self-employed,3,Own,Single-family home,Female,Public transit,66402,11.103497515166799
37,Master's,Healthcare,0,Urban,46,Married,Full-time,6,Own,Apartment,Female,Car,71332,11.175114332427764
45,High School,Finance,3,Urban,19,Single,Full-time,3,Own,Single-family home,Male,Biking,74462,11.218057636703723
64,High School,Others,2,Urban,24,Married,Part-time,6,Own,Single-family home,Female,Biking,7166308,15.784901296207643
24,Bachelor's,Healthcare,0,Urban,44,Married,Full-time,2,Rent,Single-family home,Male,Public transit,71986,11.18424082614052
61,Doctorate,Technology,3,Urban,0,Divorced,Part-time,4,Own,Single-family home,Female,Car,65652,11.092138575564253
25,High School,Others,2,Suburban,1,Married,Part-time,1,Own,Single-family home,Male,Biking,73092,11.199487881918735
64,Bachelor's,Healthcare,0,Urban,5,Married,Part-time,6,Own,Apartment,Female,Car,1142923,13.949100448877738
52,High School,Healthcare,3,Urban,6,Married,Full-time,7,Own,Apartment,Male,Car,215911,12.28262619624595
31,Master's,Others,4,Urban,50,Married,Full-time,3,Own,Single-family home,Male,Public transit,73718,11.208015846851822
34,Bachelor's,Finance,0,Urban,3,Married,Full-time,5,Own,Apartment,Female,Walking,67916,11.126041650398415
53,Bachelor's,Healthcare,0,Urban,17,Married,Part-time,3,Rent,Single-family home,Female,Biking,158392,11.97283456546678
67,High School,Education,2,Suburban,40,Married,Full-time,4,Own,Apartment,Male,Car,5227297,15.46940506774013
57,Master's,Healthcare,5,Urban,42,Single,Part-time,6,Rent,Townhouse,Male,Biking,4232118,15.258213371217566
21,Doctorate,Education,5,Urban,4,Married,Full-time,3,Own,Apartment,Male,Public transit,66784,11.109233783411206
19,Bachelor's,Finance,3,Suburban,24,Single,Self-employed,2,Own,Single-family home,Male,Car,72016,11.184657481239462
